regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28277,Charlotte,NC,Charlotte,Mecklenburg,condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182475,174000,176000,179900,179000,175950,185000,185000,182700,180000,185000,183000,187950,187900,184000,189900,184000,180000,187900,189999,192000,190000,199450,225000,204000,224950,242500,225000,203999.5,189949.5,201500,204900,204900,200000,202450,200000,204000,223000,205500,209950,199995
28203,Charlotte,NC,Charlotte,Mecklenburg,condo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189000,180000,196950,199900,224900,218450,249000,236950,225000,219900,208500,199900,199900,200000,200000,207000,219000,209000,214950,207000,225000,220000,219950,250000,230000,250000,248900,259950,278750,264900,275000,289450,259950,277450,285000,295000,298500,305000,312500,315390,315390,315000,311250,312500,315390,317695,347000,355900,355900,355900,355900,355900,337250,345000,352450,313950,310000,299500
28202,Charlotte,NC,Charlotte,Mecklenburg,condo,281950,278900,274950,272000,259900,259900,251950,239400,245000,239700,239450,239000,235000,238000,229950,229900,239000,239000,247500,259900,259000,259000,250000,242500,262500,253700,262500,262500,225000,224949.5,210000,217500,217000,215000,214900,215500,225000,265000,265000,273700,239900,259000,245900,229900,249900,270000,279900,268750,261825,259900,250000,249500,247450,254900,244750,247000,248000,243500,247750,254900,267900,259900,247000,249900,249900,260000,257500,260000,257500,260000,305000,299750,289950,284500,285000,295250,299000,295000,309000,305000,299900,305000,344899,350000,335000,317000,315000,325000,300000,312325,309900,289900,299999.5
