regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28214,Charlotte,NC,Charlotte,Mecklenburg,4br,135000,139900,146400,149900,147900,147900,134900,140250,148450,129900,125000,127000,127000,125000,122000,129900,125900,135200,129900,138531,134950,129334,134517,134900,134900,144875,146900,145695,146900,150000,147950,149900,149900,149900,174900,165000,168145,169800,175762.5,171990,169900,179950,176945,179400,182450,179650,179200,177995,173195,171990,178990,170000,173445,178990,174990,174990,174990,169250,181900,177990,181900,198990,200000,199195,209245,209000,195000,202995,197000,213740,214495,215000,217490,180500,205000,213495,209450,204450,209000,204900,199000,195900,204065,204950,199450,199000,199450,226470,229500,231240,234900,249490,235000
28031,Cornelius,NC,Charlotte,Mecklenburg,4br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689900,725000,719000,700000,699000,677000,599500,599000,615000,600000,582250,595000,612500,672000,649000,609348.5,580000,575000,554500
28270,Charlotte,NC,Charlotte,Mecklenburg,4br,354500,350000,358000,350000,349500,345000,339900,329900,344900,319950,315000,300000,299999,302450,315000,319900,322000,324900,319000,324900,299974.5,299950,280206,279900,299950,324500,327000,329000,328000,326500,319900,319450,319000,325000,332850,327000,322450,319950,349500,349175,349900,348500,349250,344900,325000,319900,315000,339950,310000,340000,359900,372450,373500,375000,376500,379950,394950,389900,399550,395000,386000,399500,399000,410990,430000,422125,425000,415000,409900,399000,415000,399900,409250,434950,479499.5,450000,449900,450000,449900,446500,452500,481950,479000,459944,479000,489950,539900,510745,495995,479900,470495,460000,450000
28269,Charlotte,NC,Charlotte,Mecklenburg,4br,189250,189900,194425,189900,195000,199925,198550,198600,199900,188449.5,180000,174900,172000,169900,165000,159995,164945,169950,174870,174900,168495,159900,157949.5,158950,175000,175000,169450,166995,169900,179000,179000,179900,175450,169900,185000,185000,184900,190000,194995,198945,199990,210000,201495,199900,195000,196345,195000,190000,199900,199995,199900,209950,210995,214000,206995,199900,198995,200990,200990,199900,200000,213995,212990,221490,220000,222990,223005,222700,223245,219000,214900,219950,219900,229000,229000,230000,249900,254838.5,259777,252500,249700,249900,239900,241990,245000,240000,240000,265000,265000,265000,260000,260000,258495
28278,Charlotte,NC,Charlotte,Mecklenburg,4br,249900,259900,270000,259000,255000,249990,261000,266410.5,247250,240000,239750,219900,219900,210647,202600,212945,209870,212990,220370,219900,235000,232500,239800,260490.5,285714,285714,275000,274990,276990,284950,280000,272990,258475,247400,279990,274900,290490,265000,276890,296225,288578.5,298500,289167,314995,297995,293490,274990,283990,280995,282000,271737,287900,289190,291695,294400,284940,301490,314371.5,300995,304400,303490,295990,295990,302990,301695,306738.5,309400,313990,305195,308900,307077,304842.5,296800,329097.5,323829.5,314960,315990,317960,319965,309585,322685,324950,328490,332185,338881.5,324900,319450,324900,329450,325000,325000,344081,355682.5
28078,Huntersville,NC,Charlotte,Mecklenburg,4br,289500,297450,289700,299000,299900,298000,279500,275000,274500,263547.5,262990,255000,253295,251450,250000,249900,250000,249900,249900,249900,245900,243493.5,238000,239994.5,252995,259900,254995,249900,242500,250000,262900,262000,262000,263900,275495,276650,275000,289900,288000,289000,284900,284900,289900,299000,298495,295990,300986,307000,299000,307500,299995,309000,303445,305990,309900,309450,309900,315000,314990,314995,314945,309950,317000,317900,314950,329438,334900,328236,329900,339000,329900,329900,325000,329450,334700,336990,342500,339245,339900,348999,349900,354909.5,353990,355000,357990,357994.5,359000,369500,371495,365000,364900,364999.5,359900
28134,Pineville,NC,Charlotte,Mecklenburg,4br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299775,330999,305600,321422,330499,305600,319900,289834,289884,289950,285000,301768,303383.5,331500,294450,285000
28210,Charlotte,NC,Charlotte,Mecklenburg,4br,349000,346450,357000,349000,344900,337000,335000,329000,322400,309900,322400,310000,315000,299450,314900,324900,309949.5,324950,325000,319000,327450,329900,324900,299900,324700,325000,332500,354450,369000,375000,367000,344950,325000,322450,344450,339000,347000,349000,377000,397200,405000,384000,384900,399900,394500,425000,429000,424450,424000,422450,407500,420000,388500,399450,399000,389900,385000,370000,395000,399000,397000,385000,385000,449000,435000,475000,489000,490250,499900,485000,450000,450000,450000,469900,469000,480000,489900,484950,454450,469250,454500,432000,432000,425000,419500,429000,459450,498500,505000,512500,499950,499900,499900
28215,Charlotte,NC,Charlotte,Mecklenburg,4br,,,,,,,,,,,,,,,,,,,,,,,122450,119900,124950,124900,125900,132450,119095,134900,137700,133900,124900,124900,142780,139450,144088.5,149000,157000,161000,161000,142095,142900,142100,159900,146010,150244,146173.5,150705,153900,151399,157150,157950,159900,158900,164950,167900,160000,159350,139900,145890,160000,175000,163400,173700,166450,167900,170000,167900,174950,182400,174900,187450,200000,190000,210000,194950,194700,190000,191900,196000,196000,198000,197950,215000,218270,232400,231200,239150,247700,248000,242900,246200
28216,Charlotte,NC,Charlotte,Mecklenburg,4br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,154990,159995,159750,169900,166990,168990,160990,157900,160740,162000,160195,160490,163490,168900,169900,168400,171900,182697.5,182500,183450,183450,184445,184990,184990,186990,190490,189000,215752.5,210210,197990,186950,188900,188900,180990,179995,177740,183990,202490,202990,224900,237450,240000,219900,199000,189900,210750,215000,215000,223000,210000,209500,230950,229950,230000,229900,229950,232500
