regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28277,Charlotte,NC,Charlotte,Mecklenburg,5br+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,596000,592750,569900,562450,575000,577250,592450,625000,599900,650000,619950,647000,624950,617499.5,669700,629900,630000,619900,595000,595000,579000,597000,585000,583750,574900,547047.5,575000,647500,722450,724900,694000,625000,579500,594950,579700,629999,589485,654450,654450,659900,677500,659900,649000,597930,593400,644500,617000,585920,585000,585000,679950,680000,669900,575000,599900,585470,563900,531956
28031,Cornelius,NC,Charlotte,Mecklenburg,5br+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1669500,1544000,1521500,1521500,1457250,1457250,1481500,1399900,1299000,1195000,1197499.5,1399000,1362000,1180000,1279000,1177500,1249999,1387500,1300000,1499500,1499999,1649000
28211,Charlotte,NC,Charlotte,Mecklenburg,5br+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,1299000,1150000,1225000,1350000,1357500,1475000,1550000,1462500,1499000,1450000,1250000,1398000,1398000,1398500,1325000,1292000,1299000,1100000,1125000
28270,Charlotte,NC,Charlotte,Mecklenburg,5br+,517950,525000,537000,525000,527000,524950,525000,524950,504950,485000,428300,399997,389900,385000,385000,395388,424700,389055,426900,426900,419900,449950,448250,416900,400000,439500,416900,418500,424900,424900,437990,417000,399900,399995,400000,399990,450000,474900,500000,500000,485000,490000,466950,459990,469990,515000,505000,505000,510000,499939,495066.5,519255,500000,479999,525000,520000,515000,489000,499949.5,482000,550000,575000,569900,575000,569900,637675,725000,699029,637029,542500,634900,593425,685000,659000,635999,655999,666499,666499,612450,635999,621449.5,601738,622999,648249.5,620249.5,599000,625000,635499,630000,656499,659900,675249.5,689000
28278,Charlotte,NC,Charlotte,Mecklenburg,5br+,,,,,,,,,,,,,,,,,,,,,,282990,277995,264950,280990,282990,292945,280210,263400,287445,280950,275990,273060,270000,292450,296495,295000,306990,318945,319045,297265,306357.5,289990,289990,304950,304815,317750.5,312645,322435,316051,316551,326435,330197.5,363490,379631,387990,405410,395410,391700,391700,378310.5,363915,379233,386495,388846.5,387990,385554.5,382445,382362.5,379957.5,380990,364530,333957.5,379140,379900,384497.5,386990,385000,384040,388495,394245,387240,396200,389490,383445,365060,403990,411945,399932,401744.5,407999,410244.5,429999
28078,Huntersville,NC,Charlotte,Mecklenburg,5br+,349900,347437.5,357289,365289,389000,384450,379900,375000,355000,342500,343250,325000,325000,309900,304950,322400,329900,339000,322400,341750,342500,342500,333093.5,344000,341250,325791,315097,333391,307450,337500,367450,367923,365000,353604,348521.5,367923,363500,389000,369631.5,366763,359900,372500,375000,396115,395000,395000,389450,397150,380000,404416,390561.5,393065,400612.5,415000,395257,387695.5,386083,386391,377480,382453,402817,402875,401797.5,400778,416400,415162,416950,416115,434900,436854.5,434900,449000,475000,414425,419000,419000,425000,428950,424000,438950,449450,449000,469900,467920,512499.5,494499.5,535000,509000,494950,492728,493614,486200,479900
