regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28203,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489000,449900,499900,467500,539900,539900,451350,433400,435800,441750,456800,469000,459900,525000,515000,549500,539000,489900,460000,453350,460000,454500,439000,444950,439450,454500,460000,460000,479000,470000,460000,459500,460000,440000,450450,450900,458450,460000,475000,482450,524900,484385
28210,Charlotte,NC,Charlotte,Mecklenburg,3br,213445,219900,229900,229000,227000,219900,219900,219900,215000,199900,198500,195350,184900,189450,181450,189900,184000,189900,194000,194500,189000,188000,169900,177000,185000,189900,184949.5,177000,177500,179900,177500,189000,181000,184900,188450,190000,193000,198700,199000,209900,216875,219000,218000,219000,215500,210000,210000,209250,205000,206500,215000,209500,229000,225000,228500,219900,230000,235000,229900,225000,218600,235000,245000,245000,245000,244950,257450,259900,264950,268900,265000,279950,276000,276000,279900,288999,289449.5,288000,289900,285000,289900,300000,310000,310000,287450,288700,309500,317000,319000,312500,310000,309250,309950
28215,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111444,110000,121405,123900,114900,119000,116900,115000,114500,114900,114900,118400,114500,114880,109950,115999,115000,115000,115998,123700,126500,129995,132400,129400,128900,130200,130000,127600,133750,135000,139950,145000,149250,144900,142450,144900,149000,141373,140900,152466,159000,159900,155000,159000,164900,162500,169900
28216,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121000,115750,118950,115000,117200,120000,124335,124950,128250,124900,120000,123000,119900,119900,118500,119900,119900,119950,129900,129900,127150,129900,133400,130990,130200,130695,123950,132700,132200,139000,135000,138500,138000,139350,139000,135000,133750,139500,135000,144999,152450,149947.5,152250,150000,150000,152450,155000
28205,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264450,272400,259000,262000,257000,282500,289000,289900,289900,299000,300000,299000,300000,299999.5
28227,Mint Hill,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124999,128500,124999.5,120000,124900,129000,129450,125750,130000,129900,126449.5,125000,124900,129450,135000,130000,133499.5,138250,139900,145900,145000,144950,144950,140000,145000,147900,150900,152000,150450,149999.5,154000,153000,149900,157699.5,152900,149950,165900,159900,156749.5,167900,165000,165000,180000,193500,196449.5,198200,193900,212000,197400,208150,203499.5,199900,198949.5,207000,218949.5,214900,207450,199900
28036,Davidson,NC,Charlotte,Mecklenburg,3br,255000,249900,249945,255000,254000,250000,279900,264000,249000,249750,249750,259000,254000,239900,249000,258000,250000,250000,250000,250900,250000,250000,249900,249000,265000,274900,274900,279900,280000,279900,275000,269000,256500,265000,270510,249000,260000,259950,252500,262500,253000,264949.5,259000,259000,251000,258495,250000,250000,225000,252495,249950,255105,249900,248900,249995,239900,258445,259400,239250,239000,238450,247500,249000,279925,279900,279900,314900,322500,296450,297500,295500,292750,280000,297000,266450,272735,289900,307500,317250,319500,315000,325000,337500,329900,317700,317500,319900,339000,336950,337000,330000,314950,324950
28277,Charlotte,NC,Charlotte,Mecklenburg,3br,209450,210000,205000,208500,209000,210000,208250,209000,209900,205575,204450,199900,200617.5,202500,203250,190000,190000,189900,189900,185000,179900,180000,179900,179000,184900,187500,192500,190000,192000,189900,189900,189950,188000,188000,197000,199800,209900,219500,224900,224000,227950,225000,225000,229700,229000,223900,219900,219900,211500,226200,239900,234900,227700,224900,228500,229900,225000,225000,229000,225000,234500,238750,247850,249500,239700,239900,247000,255000,245000,249900,246450,255000,252500,264950,258988,249900,250000,257000,273900,262900,252450,255950,260000,268950,274950,274950,274850,282450,279950,285000,280000,284900,299900
28262,Charlotte,NC,Charlotte,Mecklenburg,3br,133450,129900,129000,127900,125000,125000,126700,129900,126000,119900,112950,109000,113850,109900,109900,109900,115000,119900,115000,117990,99900,105000,107750,104500,109200,109900,109990,105000,103750,105000,105000,109995,109900,110000,125000,128400,128195,133995,128282.5,129237.5,136395,136300,134900,137500,137222.5,135000,134760,136850,136850,135600,133450,135440,135000,129999.5,132514,131900,134950,136000,135000,134950,129950,136450,136000,138500,139950,135950,150000,148000,140000,139995,139900,139900,139450,139900,139900,139900,140000,149000,149950,154900,154900,149900,149900,149900,147000,159000,165000,167450,169900,169900,169900,172500,174900
28226,Charlotte,NC,Charlotte,Mecklenburg,3br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312900,299900,313900,310950,285000,285000,265000,289900,339000,299900,289900,336950,312950,315000,319000,323450,329900
