regionname,city,state,metro,countyname,sizerank,2010_01,2010_02,2010_03,2010_04,2010_05,2010_06,2010_07,2010_08,2010_09,2010_10,2010_11,2010_12,2011_01,2011_02,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03,2012_04,2012_05,2012_06,2012_07,2012_08,2012_09,2012_10,2012_11,2012_12,2013_01,2013_02,2013_03,2013_04,2013_05,2013_06,2013_07,2013_08,2013_09,2013_10,2013_11,2013_12,2014_01,2014_02,2014_03,2014_04,2014_05,2014_06,2014_07,2014_08,2014_09,2014_10,2014_11,2014_12,2015_01,2015_02,2015_03,2015_04,2015_05,2015_06,2015_07,2015_08,2015_09,2015_10,2015_11,2015_12,2016_01,2016_02,2016_03,2016_04,2016_05,2016_06,2016_07,2016_08,2016_09,2016_10,2016_11,2016_12,2017_01,2017_02,2017_03,2017_04,2017_05,2017_06,2017_07,2017_08,2017_09
28203,Charlotte,NC,Charlotte,Mecklenburg,2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317645,332300,330000,335000,339900,315390,315390,345000,355900,355900,355450,345000,350000,351100,350000,355450,355900,360000,357500,325000
28202,Charlotte,NC,Charlotte,Mecklenburg,2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500900,500450,499000,500900,515000,445000,409000,405000,405000,412000,395000,397450,400000,425000,427500,402387,375000,350000,345000,345000,345000,339450,375000
28269,Charlotte,NC,Charlotte,Mecklenburg,2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102695,103950,104900,102400,107500,103040,104750,108357.5,108215,102672,104500,100000,100000,100000,99900,105000,104950,108900,105500,105000,106950,104000,109500,100000,101000,102500,104450,104950,109900,109925,110950,118950,117900,110000,106000,106000,105000,105000,117050,122500,123000,118500,125000,118000,115000,123000,127250,122500,120000,126000,122500,125000,126000,125500,130000,133900,134950,130000
28205,Charlotte,NC,Charlotte,Mecklenburg,2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209450,212000,217000,221700,199000,199450,206500,184950,177450,175000,176500,181450,180000,211000,235000,225000,225000,250000,246000
28277,Charlotte,NC,Charlotte,Mecklenburg,2br,144900,145000,138450,134900,134000,134000,139900,132900,135000,130995,129900,125000,125000,124400,135000,134950,134787.5,139000,137900,138400,133900,129900,125000,134950,134781.5,137000,137000,135515.5,134400,134900,136656,136640,133400,134950,136270,135900,140416,138780,136735,141255,137500,147400,139900,149500,142475,143650,135000,135000,134950,133900,137450,140450,145000,144900,149000,154950,152450,151000,149900,148900,148900,144900,154500,165000,159000,159000,165000,169500,163000,151500,135000,154500,152500,174000,167400,174700,171650,179950,179995,171700,169900,163700,165000,168900,189900,186450,169900,169900,184900,185000,183950,189000,189900
28031,Cornelius,NC,Charlotte,Mecklenburg,2br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202450,205000,197900,195000,199500,194900,194700,194200,194500,199000,198950,185000,185000,189900,171750,179000,175000,177450,200000
