city,countyName,latitude,longitude,schoolLevel,schoolName,schoolYear,state,street,studentsNumber,zip
Charlotte,Mecklenburg,35.184731,-80.871463,Elementary,Collinswood Language Academy,2017,NC,4000 Applegate Rd,763.0,28209
Charlotte,Mecklenburg,35.20971,-80.758581,High,Commonwealth High,2017,NC,5112 Central Ave,217.0,28205
Charlotte,Mecklenburg,35.036092,-80.823957,Middle,Community House Middle,2017,NC,9500 Community House Rd,1783.0,28277
Charlotte,Mecklenburg,35.322945000000004,-80.75652,Other,Corvian Community School,2017,NC,4041 Johnston Oehler Road,698.0,28269
Charlotte,Mecklenburg,35.179268,-80.797578,Elementary,Cotswold IB Elementary,2017,NC,300 Greenwich Rd,814.0,28211
Charlotte,Mecklenburg,35.303869,-80.94467399999999,Middle,Coulwood STEM Academy,2017,NC,500 Kentberry Dr,663.0,28214
Charlotte,Mecklenburg,35.346489,-80.804651,Elementary,Croft Community Elementary,2017,NC,4911 Hucks Rd,571.0,28269
Charlotte,Mecklenburg,35.146413,-80.74254499999999,Private,Crossway Academy,2018,NC,9129 Monroe Rd Ste 100-105,15.0,28270
Charlotte,Mecklenburg,35.144602,-80.772338,Private,Cyzner Institute,2018,NC,7022 Sardis Rd,23.0,28270
Charlotte,Mecklenburg,35.336844,-80.800925,Elementary,David Cox Road Elementary,2017,NC,4215 David Cox Rd,615.0,28269
Charlotte,Mecklenburg,35.245108,-80.74596899999999,Elementary,Devonshire Elementary,2017,NC,6500 Barrington Dr,633.0,28215
Charlotte,Mecklenburg,35.211384,-80.851566,Elementary,Dilworth Elementary School: Latta Campus,2017,NC,405 E. Park Ave,732.0,28203
Charlotte,Mecklenburg,35.190272,-80.86343199999999,Elementary,Dilworth Elementary School: Sedgefield C,2017,NC,715 Hartford Ave,391.0,28209
Charlotte,Mecklenburg,35.257307,-80.82434599999999,Elementary,Druid Hills Academy,2017,NC,2801 Lucena Ave,565.0,28206
Charlotte,Mecklenburg,35.176007,-80.75797800000001,High,East Mecklenburg High,2017,NC,6800 Monroe Rd,1907.0,28212
Charlotte,Mecklenburg,35.33705,-80.97878100000001,Elementary,East Voyager Academy of Charlotte,2017,NC,7429 Tuckaseegee Rd.,,28214
Charlotte,Mecklenburg,35.196611,-80.821652,Elementary,Eastover Elementary,2017,NC,500 Cherokee Rd,438.0,28207
Charlotte,Mecklenburg,35.210204,-80.778091,Middle,Eastway Middle,2017,NC,1501 Norland Rd,884.0,28205
