schoolName,city,countyName,Address,state,latitude,longitude,schoolLevel,studentsNumber,Rating,schoolYear,Source
First Ward Creative Arts Academy,Charlotte,Mecklenburg,715 N. Caldwell St,NC,35.2291,-80.8323,Elementary,572.0,3,2017,US Census
Garinger High,Charlotte,Mecklenburg,1100 Eastway Dr,NC,35.241087,-80.782875,High,1940.0,1,2017,US Census
Governors Village STEM Academy (Lower),Charlotte,Mecklenburg,7910 Neal Rd,NC,35.298736,-80.774752,Elementary,811.0,4,2017,US Census
Governors Village STEM Academy (Upper),Charlotte,Mecklenburg,7810 Neal Rd,NC,35.296698,-80.775137,Middle,1063.0,4,2017,US Census
Greenway Park Elementary,Charlotte,Mecklenburg,8301 Monroe Rd,NC,35.157394000000004,-80.74606,Elementary,544.0,1,2017,US Census
Harding University High,Charlotte,Mecklenburg,2001 Alleghany St,NC,35.23659,-80.902644,High,1657.0,1,2017,US Census
Harper Middle College High,Charlotte,Mecklenburg,315 W Hebron St,NC,35.1296,-80.8956,High,107.0,1,2017,US Census
Hawk Ridge Elementary,Charlotte,Mecklenburg,9201 Bryant Farms Rd,NC,35.043456,-80.82525799999998,Elementary,903.0,5,2017,US Census
Hawthorne Academy of Health Sciences,Charlotte,Mecklenburg,1411 Hawthorne Ln,NC,35.220508,-80.80889499999998,High,179.0,4,2017,US Census
Hickory Grove Elementary,Charlotte,Mecklenburg,6709 Pence Rd,NC,35.226343,-80.719825,Elementary,627.0,4,2017,US Census
Hidden Valley Elementary,Charlotte,Mecklenburg,5100 Snow White Ln,NC,35.268056,-80.784728,Elementary,974.0,2,2017,US Census
Highland Creek Elementary,Charlotte,Mecklenburg,7242 Highland Creek Pkwy,NC,35.378279,-80.76333100000002,Elementary,631.0,1,2017,US Census
Highland Mill Montessori,Charlotte,Mecklenburg,3201 Clemson Ave,NC,35.243229,-80.80424599999998,Elementary,289.0,4,2017,US Census
Highland Renaissance Academy,Charlotte,Mecklenburg,125 W Craighead Rd,NC,35.255641,-80.803206,Elementary,500.0,5,2017,US Census
Hornets Nest Elementary,Charlotte,Mecklenburg,6700 Beatties Ford Rd,NC,35.324705,-80.86523100000002,Elementary,633.0,1,2017,US Census
Huntingtowne Farms Elementary,Charlotte,Mecklenburg,2520 Huntingtowne Farms Ln,NC,35.132706,-80.85987,Elementary,779.0,2,2017,US Census
Idlewild Elementary,Charlotte,Mecklenburg,7101 Idlewild Rd,NC,35.187135,-80.744159,Elementary,1002.0,3,2017,US Census
Independence High,Charlotte,Mecklenburg,1967 Patriot Dr,NC,35.197168,-80.687432,High,2469.0,3,2017,US Census
Invest Collegiate Transform,Charlotte,Mecklenburg,2045 Suttle Ave,NC,35.225632,-80.870974,Elementary,491.0,1,2017,US Census
Irwin Academic Center,Charlotte,Mecklenburg,329 N. Irwin Ave,NC,35.23748300000001,-80.850052,Elementary,491.0,5,2017,US Census
J H Gunn Elementary,Charlotte,Mecklenburg,7400 Harrisburg Rd,NC,35.21602,-80.685407,Elementary,750.0,1,2017,US Census
James Martin Middle,Charlotte,Mecklenburg,6301 University Pointe Blvd,NC,35.298439,-80.766922,Middle,1017.0,1,2017,US Census
Niner University Elementary,Charlotte,Mecklenburg,6301 University Pointe Blvd,NC,35.297749,-80.76260400000002,,,1,2017,US Census
Jay M Robinson Middle,Charlotte,Mecklenburg,5925 Ballantyne Commons Pkwy,NC,35.063078000000004,-80.783486,Middle,1137.0,5,2017,US Census
Joseph W Grier Academy,Charlotte,Mecklenburg,8330 Grier Rd,NC,35.267379,-80.725387,Elementary,789.0,1,2017,US Census
